native_frame,mame_frame,mame_rider_y,native_rider_y,mame_hoop_x_8_8,native_hoop_x_8_8,mame_collision,native_collision,mame_landing,native_landing,mame_score_event,native_score_event,match,mame_rider_state,native_rider_state,native_hd_frame,native_anchor_x,native_anchor_y
55,1377,99,99,6480,6480,safe_x,safe_x,0,0,000000,000000,1,C,C,3,512.000000,640.000000
56,1378,99,99,6280,6280,safe_x,safe_x,0,0,000000,000000,1,C,C,3,512.000000,640.000000
57,1379,99,99,6080,6080,safe_x,safe_x,0,0,000000,000000,1,C,C,3,512.000000,640.000000
58,1380,99,99,5e80,5e80,safe_x,safe_x,0,0,000000,000000,1,C,C,3,512.000000,640.000000
59,1381,9a,9a,5c80,5c80,safe_x,safe_x,0,0,000000,000000,1,C,C,3,512.000000,640.000000
60,1382,9a,9a,5a80,5a80,safe_x,safe_x,0,0,000000,000000,1,C,C,3,512.000000,640.000000
61,1383,9a,9a,5880,5880,safe_x,safe_x,0,0,000000,000000,1,C,C,3,512.000000,640.000000
62,1384,9b,9b,5680,5680,safe_x,safe_x,0,0,000000,000000,1,C,C,3,512.000000,640.000000
63,1385,9c,9c,5480,5480,safe_x,safe_x,0,0,000000,000000,1,C,C,3,512.000000,640.000000
64,1386,9c,9c,5280,5280,safe_x,safe_x,0,0,000000,000000,1,C,C,3,512.000000,640.000000
65,1387,9d,9d,5080,5080,safe_x,safe_x,0,0,000000,000000,1,C,C,3,512.000000,640.000000
66,1388,9e,9e,4e80,4e80,safe_x,safe_x,0,0,000000,000000,1,C,C,3,512.000000,640.000000
67,1389,9f,9f,4c80,4c80,safe_above,safe_above,0,0,000000,000000,1,C,C,3,512.000000,640.000000
68,1390,a0,a0,4a80,4a80,safe_above,safe_above,0,0,000000,000000,1,C,C,3,512.000000,640.000000
69,1391,a2,a2,4880,4880,safe_above,safe_above,0,0,000000,000000,1,C,C,3,512.000000,640.000000
70,1392,a3,a3,4680,4680,safe_above,safe_above,0,0,000000,000000,1,C,C,3,512.000000,640.000000
71,1393,a5,a5,4480,4480,safe_above,safe_above,0,0,000000,000000,1,C,C,3,512.000000,640.000000
72,1394,a6,a6,4280,4280,safe_above,safe_above,0,0,000000,000000,1,C,C,3,512.000000,640.000000
73,1395,a8,a8,4080,4080,safe_above,safe_above,0,0,000000,000000,1,C,C,3,512.000000,640.000000
74,1396,aa,aa,3e80,3e80,safe_above,safe_above,0,0,000000,000000,1,C,C,3,512.000000,640.000000
75,1397,ac,ac,3c80,3c80,safe_above,safe_above,0,0,000000,000000,1,C,C,3,512.000000,640.000000
76,1398,ae,ae,3a80,3a80,safe_above,safe_above,0,0,000000,000000,1,C,C,3,512.000000,640.000000
77,1399,b0,b0,3880,3880,safe_above,safe_above,0,0,000000,000000,1,C,C,3,512.000000,640.000000
78,1400,b3,b3,3680,3680,safe_above,safe_above,0,0,000000,000000,1,C,C,3,512.000000,640.000000
79,1401,b5,b5,3480,3480,safe_above,safe_above,0,0,000000,000000,1,C,C,3,512.000000,640.000000
80,1402,b7,b7,3280,3280,safe_x,safe_x,0,0,000000,000000,1,C,C,3,512.000000,640.000000
81,1403,ba,ba,3080,3080,safe_x,safe_x,0,0,000000,000000,1,C,C,3,512.000000,640.000000
82,1404,bd,bd,2e80,2e80,safe_x,safe_x,0,0,000000,000000,1,C,C,3,512.000000,640.000000
83,1405,c0,c0,2c80,2c80,safe_x,safe_x,0,0,000000,000000,1,C,C,3,512.000000,640.000000
84,1406,c3,c3,2a80,2a80,safe_x,safe_x,0,0,000000,000000,1,C,C,3,512.000000,640.000000
85,1407,c6,c6,2880,2880,safe_x,safe_x,0,0,000000,000000,1,C,C,3,512.000000,640.000000
86,1408,c9,c9,2680,2680,safe_x,safe_x,0,0,000000,000000,1,C,C,3,512.000000,640.000000
87,1409,cc,cc,2480,2480,safe_x,safe_x,0,0,000000,000000,1,C,C,3,512.000000,640.000000
88,1410,d0,d0,2280,2280,safe_x,safe_x,1,1,000100,000064,1,A,A,1,512.000000,640.000000
89,1411,d0,d0,2080,2080,safe_x,safe_x,0,0,000000,000000,1,A,A,1,512.000000,640.000000
90,1412,d0,d0,1e80,1e80,safe_x,safe_x,0,0,000000,000000,1,A,A,1,512.000000,640.000000
91,1413,d0,d0,1c80,1c80,safe_x,safe_x,0,0,000000,000000,1,A,A,1,512.000000,640.000000
92,1414,d0,d0,1a80,1a80,safe_x,safe_x,0,0,000000,000000,1,A,A,1,512.000000,640.000000
93,1415,d0,d0,1880,1880,safe_x,safe_x,0,0,000000,000000,1,A,A,1,512.000000,640.000000
94,1416,d0,d0,1680,1680,safe_x,safe_x,0,0,000000,000000,1,A,A,1,512.000000,640.000000
95,1417,d0,d0,1480,1480,safe_x,safe_x,0,0,000000,000000,1,A,A,1,512.000000,640.000000
96,1418,d0,d0,1280,1280,safe_x,safe_x,0,0,000000,000000,1,B,B,2,512.000000,640.000000
97,1419,d0,d0,1080,1080,safe_x,safe_x,0,0,000000,000000,1,B,B,2,512.000000,640.000000
98,1420,d0,d0,0e80,0e80,safe_x,safe_x,0,0,000000,000000,1,B,B,2,512.000000,640.000000
99,1421,d0,d0,0c80,0c80,safe_x,safe_x,0,0,000000,000000,1,B,B,2,512.000000,640.000000
100,1422,d0,d0,0a80,0a80,safe_x,safe_x,0,0,000000,000000,1,B,B,2,512.000000,640.000000
101,1423,d0,d0,0880,0880,safe_x,safe_x,0,0,000000,000000,1,B,B,2,512.000000,640.000000
102,1424,d0,d0,0680,0680,safe_x,safe_x,0,0,000000,000000,1,B,B,2,512.000000,640.000000
103,1425,d0,d0,0480,0480,safe_x,safe_x,0,0,000000,000000,1,C,C,3,512.000000,640.000000
104,1426,d0,d0,0280,0280,safe_x,safe_x,0,0,000000,000000,1,C,C,3,512.000000,640.000000
105,1427,d0,d0,0080,0080,safe_x,safe_x,0,0,000000,000000,1,C,C,3,512.000000,640.000000
106,1428,d0,d0,d980,d980,safe_x,safe_x,0,0,000000,000000,1,C,C,3,512.000000,640.000000
107,1429,d0,d0,d780,d780,safe_x,safe_x,0,0,000000,000000,1,C,C,3,512.000000,640.000000
108,1430,d0,d0,d580,d580,safe_x,safe_x,0,0,000000,000000,1,C,C,3,512.000000,640.000000
